"source","run_id","method","status","subspace_recovery_score_samegenes","grassmann_distance_samegenes","n_genes_used_samegenes","subspace_recovery_score","grassmann_distance","recovery_score_delta"
"scdesign3",154,"pca_shiftedlog","ok",0.00301030496083507,0.998493713069424,2000,0.003010304960835,0.998493713069424,7.19910242530375e-17
"scdesign3",155,"pca_libnorm","ok",3.62916390948531e-05,0.999981854015814,2000,3.6291639094837e-05,0.999981854015814,1.60732972070976e-17
"scdesign3",155,"pca_log","ok",0.00211826468458475,0.998940306182214,2000,0.0021182646845848,0.998940306182214,-4.5102810375397e-17
"scdesign3",155,"pca_raw","ok",0.226639975533511,0.879408906292453,2000,0.226639975533511,0.879408906292453,3.60822483003176e-16
"scdesign3",155,"pca_shiftedlog","ok",0.0010653288391896,0.999467193639096,2000,0.0010653288391896,0.999467193639096,2.16840434497101e-18
"scdesign3",156,"pca_libnorm","ok",0.00455340646472419,0.997720699161482,2000,0.00455340646472461,0.997720699161481,-4.16333634234434e-16
"scdesign3",156,"pca_log","ok",0.163967472574852,0.914348143447094,2000,0.163967472574852,0.914348143447094,-1.94289029309402e-16
"scdesign3",156,"pca_raw","ok",0.646153143293219,0.594850280916787,2000,0.646153143293221,0.594850280916786,-1.77635683940025e-15
"scdesign3",156,"pca_shiftedlog","ok",0.410851005724902,0.767560417345174,2000,0.410851005724903,0.767560417345174,-6.10622663543836e-16
"scdesign3",157,"pca_libnorm","ok",0.000515534821542693,0.999742199358643,2000,0.000515534821542672,0.999742199358643,2.05998412772246e-17
"scdesign3",157,"pca_log","ok",0.187297611396189,0.901500076873991,2000,0.187297611396189,0.901500076873991,-1.66533453693773e-16
"scdesign3",157,"pca_raw","ok",0.624181801122424,0.613040128276751,2000,0.624181801122426,0.61304012827675,-1.55431223447522e-15
"scdesign3",157,"pca_shiftedlog","ok",0.0368672058567422,0.981393292285645,2000,0.0368672058567422,0.981393292285645,2.08166817117217e-17
"scdesign3",158,"pca_libnorm","ok",2.60132841037451e-05,0.999986993273361,2000,2.60132841037451e-05,0.999986993273361,1.01643953670516e-20
"scdesign3",158,"pca_log","ok",0.00164827696392584,0.999175521635751,2000,0.00164827696392582,0.999175521635751,2.23345647532014e-17
"scdesign3",158,"pca_raw","ok",0.578898601996387,0.648923260488952,2000,0.578898601996394,0.648923260488947,-6.66133814775094e-15
"scdesign3",158,"pca_shiftedlog","ok",0.00182091453006265,0.999089127890969,2000,0.00182091453006265,0.999089127890969,3.68628738645072e-18
"scdesign3",159,"pca_libnorm","ok",2.86866152959e-08,0.999999985656692,2000,2.86866152961256e-08,0.999999985656692,-2.25628401324864e-19
"scdesign3",159,"pca_log","ok",0.0168159118419196,0.991556396862065,2000,0.0168159118419196,0.991556396862065,1.04083408558608e-17
"scdesign3",159,"pca_raw","ok",0.484470272666591,0.718003988382662,2000,0.484470272666591,0.718003988382662,-1.66533453693773e-16
"scdesign3",159,"pca_shiftedlog","ok",0.00729010353270509,0.996348280706749,2000,0.00729010353270509,0.996348280706749,-1.73472347597681e-18
"scdesign3",160,"pca_libnorm","ok",0.000212326222059668,0.999893831253069,2000,0.000212326222059668,0.999893831253069,-2.98155597433514e-19
"scdesign3",160,"pca_log","ok",0.00396891624031436,0.998013568925636,2000,0.00396891624031444,0.998013568925636,-8.32667268468867e-17
