"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
407,0.8,500,"none","low",200,5,"simple","all","none",FALSE
408,0.9,500,"none","low",200,5,"simple","all","none",FALSE
409,0.95,500,"none","low",200,5,"simple","all","none",FALSE
410,0.98,500,"none","low",200,5,"simple","all","none",FALSE
411,0.7,2000,"none","low",200,5,"simple","all","none",FALSE
412,0.8,2000,"none","low",200,5,"simple","all","none",FALSE
413,0.9,2000,"none","low",200,5,"simple","all","none",FALSE
414,0.95,2000,"none","low",200,5,"simple","all","none",FALSE
415,0.98,2000,"none","low",200,5,"simple","all","none",FALSE
416,0.7,10000,"none","low",200,5,"simple","all","none",FALSE
417,0.8,10000,"none","low",200,5,"simple","all","none",FALSE
418,0.9,10000,"none","low",200,5,"simple","all","none",FALSE
419,0.95,10000,"none","low",200,5,"simple","all","none",FALSE
420,0.98,10000,"none","low",200,5,"simple","all","none",FALSE
421,0.7,500,"high","low",200,5,"simple","all","none",FALSE
422,0.8,500,"high","low",200,5,"simple","all","none",FALSE
423,0.9,500,"high","low",200,5,"simple","all","none",FALSE
424,0.95,500,"high","low",200,5,"simple","all","none",FALSE
425,0.98,500,"high","low",200,5,"simple","all","none",FALSE
426,0.7,2000,"high","low",200,5,"simple","all","none",FALSE
427,0.8,2000,"high","low",200,5,"simple","all","none",FALSE
428,0.9,2000,"high","low",200,5,"simple","all","none",FALSE
429,0.95,2000,"high","low",200,5,"simple","all","none",FALSE
430,0.98,2000,"high","low",200,5,"simple","all","none",FALSE
431,0.7,10000,"high","low",200,5,"simple","all","none",FALSE
432,0.8,10000,"high","low",200,5,"simple","all","none",FALSE
433,0.9,10000,"high","low",200,5,"simple","all","none",FALSE
434,0.95,10000,"high","low",200,5,"simple","all","none",FALSE
435,0.98,10000,"high","low",200,5,"simple","all","none",FALSE
436,0.7,500,"low","low",200,5,"simple","all","none",FALSE
437,0.8,500,"low","low",200,5,"simple","all","none",FALSE
438,0.9,500,"low","low",200,5,"simple","all","none",FALSE
439,0.95,500,"low","low",200,5,"simple","all","none",FALSE
440,0.98,500,"low","low",200,5,"simple","all","none",FALSE
441,0.7,2000,"low","low",200,5,"simple","all","none",FALSE
442,0.8,2000,"low","low",200,5,"simple","all","none",FALSE
443,0.9,2000,"low","low",200,5,"simple","all","none",FALSE
444,0.95,2000,"low","low",200,5,"simple","all","none",FALSE
445,0.98,2000,"low","low",200,5,"simple","all","none",FALSE
446,0.7,10000,"low","low",200,5,"simple","all","none",FALSE
