"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"depth","splatter","pca_libnorm","step6_2_cluster_collapse","interpolated",2481.62200794934,0.828680935496482,0.703734211971444,0.9440329218107,"inconsistent_not_increasing"
"depth","splatter","pca_libnorm","step6_4_variance_hijacking","interpolated",2481.62200794934,0.0723909969725252,0.0186556927297668,0.129049972542559,"consistent_increasing"
"depth","splatter","pca_libnorm","step6_6_neighborhood_collapse","interpolated",2481.62200794934,0.96851614565325,0.933003844041735,0.997530864197531,"inconsistent_not_increasing"
"depth","splatter","pca_libnorm","step6_7_subspace_rotation_slippage","interpolated",2481.62200794934,0.730316856608882,0.607907742998353,0.852674897119342,"inconsistent_not_increasing"
"depth","splatter","pca_log","step6_1_technical_separation","interpolated",950.02902847563,0.0527150475062693,0.0117969821673525,0.0944535969247666,"consistent_increasing"
"depth","splatter","pca_log","step6_2_cluster_collapse","interpolated",950.02902847563,0.816605989111938,0.696869851729819,0.920987654320988,"inconsistent_not_increasing"
"depth","splatter","pca_log","step6_4_variance_hijacking","interpolated",950.02902847563,0.18046205336461,0.0905349794238683,0.267435475013729,"consistent_increasing"
"depth","splatter","pca_log","step6_6_neighborhood_collapse","interpolated",950.02902847563,0.860761245309825,0.774211248285322,0.924766611751785,"consistent_increasing"
"depth","splatter","pca_log","step6_7_subspace_rotation_slippage","interpolated",950.02902847563,0.811430506309185,0.770096021947874,0.879736408566722,"consistent_increasing"
"depth","splatter","pca_raw","step6_1_technical_separation","always_below_threshold",NA,0.0323997803404723,0,0.0755079626578803,"inconsistent_low_flag_despite_always_failing"
"depth","splatter","pca_raw","step6_2_cluster_collapse","always_below_threshold",NA,0.873704057750268,0.752608456891818,0.969821673525377,"consistent_uniform_high"
"depth","splatter","pca_raw","step6_4_variance_hijacking","always_below_threshold",NA,0.889592462273325,0.770919067215364,0.972817133443163,"consistent_uniform_high"
"depth","splatter","pca_raw","step6_6_neighborhood_collapse","always_below_threshold",NA,0.993135639758374,0.981603514552444,1,"consistent_uniform_high"
"depth","splatter","pca_raw","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.999450926509726,0.99890170236134,0.999725651577503,"consistent_uniform_high"
"depth","splatter","pca_sctransform_v2","step6_1_technical_separation","always_below_threshold",NA,0.0525525430070711,0.0135060639470783,0.0875892366831411,"inconsistent_low_flag_despite_always_failing"
"depth","splatter","pca_sctransform_v2","step6_2_cluster_collapse","always_below_threshold",NA,0.792805773821496,0.638110928061505,0.934705075445816,"consistent_uniform_high"
"depth","splatter","pca_sctransform_v2","step6_4_variance_hijacking","always_below_threshold",NA,0.140921657795723,0.0507166482910695,0.228995057660626,"inconsistent_low_flag_despite_always_failing"
"depth","splatter","pca_sctransform_v2","step6_6_neighborhood_collapse","always_below_threshold",NA,0.982427237781439,0.956891817682592,1,"consistent_uniform_high"
"depth","splatter","pca_sctransform_v2","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.940346016486517,0.910214168039539,0.984349258649094,"consistent_uniform_high"
"depth","splatter","pca_shiftedlog","step6_1_technical_separation","interpolated",820.476790097474,0.0505186782161176,0.0109739368998628,0.0941790225151016,"consistent_increasing"
"depth","splatter","pca_shiftedlog","step6_2_cluster_collapse","interpolated",820.476790097474,0.806721762338334,0.686161449752883,0.919341563786008,"inconsistent_not_increasing"
"depth","splatter","pca_shiftedlog","step6_4_variance_hijacking","interpolated",820.476790097474,0.130135313583561,0.0471879286694101,0.218012081274025,"consistent_increasing"
"depth","splatter","pca_shiftedlog","step6_6_neighborhood_collapse","interpolated",820.476790097474,0.92724463638288,0.881109280615047,0.975034293552812,"inconsistent_not_increasing"
"depth","splatter","pca_shiftedlog","step6_7_subspace_rotation_slippage","interpolated",820.476790097474,0.707277012811213,0.621361889071938,0.763786008230453,"consistent_increasing"
"depth","symsim","pca_glmpca","step6_1_technical_separation","always_below_threshold",NA,0.321536351165981,0.300137174211248,0.347599451303155,"inconsistent_low_flag_despite_always_failing"
"depth","symsim","pca_glmpca","step6_2_cluster_collapse","always_below_threshold",NA,0.977777777777778,0.967901234567901,0.985185185185185,"consistent_uniform_high"
"depth","symsim","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.621399176954732,0.585185185185185,0.641975308641975,"consistent_uniform_high"
"depth","symsim","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.984362139917696,0.967901234567901,1,"consistent_uniform_high"
"depth","symsim","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.940740740740741,0.916049382716049,0.97283950617284,"consistent_uniform_high"
"depth","symsim","pca_libnorm","step6_1_technical_separation","interpolated",932.706371647758,0.322908093278464,0.316049382716049,0.335802469135802,"inconsistent_not_increasing"
"depth","symsim","pca_libnorm","step6_2_cluster_collapse","interpolated",932.706371647758,0.994238683127572,0.987654320987654,0.997530864197531,"inconsistent_not_increasing"
"depth","symsim","pca_libnorm","step6_4_variance_hijacking","interpolated",932.706371647758,0.478189300411523,0.469135802469136,0.483950617283951,"consistent_increasing"
"depth","symsim","pca_libnorm","step6_6_neighborhood_collapse","interpolated",932.706371647758,0.975308641975309,0.967901234567901,0.987654320987654,"inconsistent_not_increasing"
"depth","symsim","pca_libnorm","step6_7_subspace_rotation_slippage","interpolated",932.706371647758,0.449382716049383,0.362962962962963,0.535802469135802,"inconsistent_not_increasing"
"depth","symsim","pca_log","step6_1_technical_separation","always_below_threshold",NA,0.333424782807499,0.333333333333333,0.33360768175583,"inconsistent_low_flag_despite_always_failing"
"depth","symsim","pca_log","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","symsim","pca_log","step6_4_variance_hijacking","always_below_threshold",NA,0.678189300411523,0.666666666666667,0.696296296296296,"consistent_uniform_high"
"depth","symsim","pca_log","step6_6_neighborhood_collapse","always_below_threshold",NA,0.726748971193416,0.71358024691358,0.738271604938272,"consistent_uniform_high"
"depth","symsim","pca_log","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.990123456790123,0.980246913580247,1,"consistent_uniform_high"
